DOCID	REVIEW SENTID	REVIEW SENT	REVIEW AUID	RESPONSE SENTID	RESPONSE SENT	RESPONSE AUID
3190331	50000022	Really comfortable clean rooms, very affordable, great location, very friendly staff.		80000036	Cleanliness and making our guest as comfortable as possible is what we love to here Thank you Jenny and Tony	
3190331	50000023	Its a credit to Tony and Jenny (Owners) they could not do enough for us.				
3190331	50000024	Great idea supplying crockery and cutlery in the rooms, I spoke to the staff that we only needed towels and not to clean the room, came back and the room was spick and span, I would highly recommend this Motor Inn to anyone Well Done!!!!				

3161232	50000030	Comfortable Three night stay ---SEP---		80000047	WOW, sounds like we ticked all the boxes!	
3161232	50000031	While the hotel could do with some modernising and re-furnishing, the service and customer management is excellent.		80000048	We are glad you had a fabulous time, and look forward to hosting you again soon.	
3161232	50000032	At check in it was noticed that we weren't on the same floor as our friends and this was resolved with ease and no request from ourselves.				
3161232	50000033	The same service and efficient/ effective management was provided when we had an issue with our room and a new room was promptly provided.				
3161232	50000034	Great location, great staff & access to everyday amenities.				
3161232	50000035	Worth getting a pool access room!				
3161232	50000036	Nice views of marina and excellent value.				

3271710	50000040	Fabulous location ---SEP---		80000059	Thank you for taking time to provide feedback on your recent stay.	
3271710	50000041	I really enjoyed this hotel.		80000060	It is pleasing to hear that you really enjoyed your stay with us, along with our unbeatable location with Narrabeen Beach on one side and Narrabeen Lake on the other.	
3271710	50000042	It was a surprising find at the end of a very busy and long day.		80000061	Furthermore, it is great to hear you had a great nights sleep in our comfortable beds, and found our team to be friendly and helpful.	
3271710	50000043	Great surrounds - lake on one side, a beach on the other, with friendly and helpful staff.		80000062	We look forward to the opportunity of welcoming you back again in the future.	
3271710	50000044	The bed was so comfortable too!		80000063	Kind regards, Anita Reskov Front Office & Reservations Manager Quality Hotel Sands	

3319214	50000050	Poor service ---SEP---		80000074	Dear JaneyJane I am sorry to hear that we did not get the service right during your stay and I will discuss your feedback with the team.	
3319214	50000051	A contemporary hotel with great rooms which was unfortunately let down by very slow service both at dinner and breakfast on the two nights we stayed.		80000075	We want to considered great in everything we do.	
3319214	50000052	We had to request toast 3 times one morning and when it eventually came it was without butter!		80000076	Best wishes Lynn	
3319214	50000053	They appeared to not want to serve more than 1 glass of fruit juice per person either.				
3319214	50000054	On Saturday evening it was busy so we expected a wait				
3319214	50000055	but it was about an hour each between the starter, main and dessert and even then they forgot the extras we had ordered.				
3319214	50000056	Sunday night was much quieter but alas we still had the same problems.				
3319214	50000057	The food when it eventually came was very good.				
3319214	50000058	We ordered cocktails but they had run out of cocktail glasses in which to serve them in.				
3319214	50000059	Not quite the same having a cosmopolitan served in a brandy glass!				
3319214	50000060	The staff appeared to lack training on what constitutes good customer service.				
3319214	50000061	Housekeeping brilliant, as was reception.				
3319214	50000062	The hotel has the potential to be a great hotel but just needs to address the restaurant problems and get the basics				
3319214	50000063	right				

3303988	50000070	Excellent hotel stay in-		80000087	Thank you, JM W. You point out a very important tip when it comes to booking and we thank you for your thoughtful feedback.	
3303988	50000071	well positioned and good service ---SEP---		80000088	We are delighted to hear you enjoyed our central location, Empire views and breakfast at fabrick.	
3303988	50000072	Staying with family during a full week.		80000089	We hope to see you at Archer the next time you are in New York.	
3303988	50000073	The hotel is very well positioned if you want to visit New York - near time square and all the metro, but not with the noise of the street.		80000090	In Hospitality, Michele Mangino - General Manager	
3303988	50000074	"You should take ""empire rooms"" which are a bit more expensive, but with direct view on Empire State Building."				
3303988	50000075	Price is acceptable (lower than all others hotels around with similar quality).				
3303988	50000076	If you stay long, the hotel offers a discount ( nice when staying for a week or more visit).				
3303988	50000077	To have this discount, I recommend you book directly on the web site of the hotel (not with agencies which do not give you the discount)				
3303988	50000078	Good restaurant in the hotel for breakfast.				
3303988	50000079	Good bar at the 22nd floor (but not with your child, as they are not allowed if they are below 21 - NYC law)				
3303988	50000080	"A bit too ""hype"" during the week, so not recommending the restaurant for dinner as overcrowded and noisy and not available without reservation."				

3247010	50000090	Amazing location ---SEP---		80000101	Dear Thiago A, What a wonderful review!	
3247010	50000091	The hotel is really well located in the city center, 10 minutes walking from all major attractions and right in the end of high street.		80000102	I am thrilled to see that you enjoyed your stay with us and we hope to see you again in the very near future.	
3247010	50000092	Also really close to the train/bus station, like 8 minutes walking.		80000103	It is reviews like this which shows that all of our hard work does not go unnoticed.	
3247010	50000093	We had a great customer service at the bar (Jonathan was great and really friendly).		80000104	I will be sure to pass your comments on to all of the team, especially Sandra & Jonathan who I know will be so pleased.	
3247010	50000094	In the reception Sandra was very polite and helpful with city tips and all...		80000105	Kind Regards, Conor Flynn Operations Manager	
3247010	50000095	Food is really well served - portions were surprisingly big.				
3247010	50000096	The room followed the Jury's standard (really comfortable and cozy).				

3161840	50000100	On Way to Excellence ---SEP---		80000116	Dear Jim H, Thanks for your review, and feedback after your recent stay.	
3161840	50000101	In midst of renovations, but really did not hear much or was disturbed.		80000117	We are happy to know you enjoyed your stay, and that our renovations at the hotel did not disturb you at all!	
3161840	50000102	Would love it if the M Lounge remained on first floor - ideal location!		80000118	We do apologize for the missteps with the housekeeping department, and appreciate your comments.	
3161840	50000103	Concern has to do with F&B and housekeeping.		80000119	We do our best to extend the Marriott standards, and quality our guests have come to expect, and have taken note of your feedback for our team to review.	
3161840	50000104	Food service items remained in hall for DAYS!		80000120	We appreciate your review, and hope you will return to enjoy all of the new renovations being done at the hotel!	
3161840	50000105	Housekeeping carts blocked movement in hallway - why can't Marriott be cutting edge and develop or adopt Asian hidden housekeeping?				
3161840	50000106	Finally, it seems as though if the hotel strategically places tip envelopes for housekeeping staff why not for other employees?				

3260044	50000110	5 star luxury and service.		80000131	Mahalo for staying with us at Trump Waikiki during your most recent trip to Honolulu and further commenting on your vacation with us!	
3260044	50000111	---SEP---		80000132	We are very delighted to hear that we were able to live up to your expectations.	
3260044	50000112	While getting a special deal through Tripit.com it still is a financially high end place to stay, but worth every $.				
3260044	50000113	Excellent gym, pool and hot tub are are outdoors and have a beautiful view of the beach.				
3260044	50000114	The rooms we stayed in were amazing.				
3260044	50000115	The service the best i've ever experienced anywhere in the world.				

3267976	50000120	Very romantic ---SEP---		80000143	Dear Chloedoubtfire1950, Thank you for your first class review following your visit to Cardiff.	
3267976	50000121	I was spoilt by my husband to spend the weekend in our own city at the Hilton hotel and I must say it was a luxury weekend feeling spoilt with VIP treatment, the staff were very accommodating to all our requests and went the extra mile to make sure we wanted for nothing thank you !		80000144	Your comments are very encouraging and an absolute pleasure to read.	
3267976				80000145	I will most certainly pass on your praise and gratitude to our team at the hotel, where no doubt they will further be inspired by your kind comments.	
3267976				80000146	Thank you for taking the time to offer great feedback.	
3267976				80000147	I do hope that we will have the opportunity of welcoming you back to the Hilton Cardiff once again in the near future.	
3267976				80000148	Kind regards Marie Fagan General Manager	

3240369	50000130	Close to everything.		80000159	Clean, comfortable and friendly is what we aim for.	
3240369	50000131	Easy, available power for electric cars.		80000160	The motel has a great location and I maybe bias	
3240369	50000132	---SEP--- Motel just on the edge of the main shopping strip.		80000161	but I still think we are the best valued motel in town.	
3240369	50000133	Rooms away from the street.				
3240369	50000134	Close to shops and attractions.				
3240369	50000135	Friendly staff.				
3240369	50000136	Available power for an electric car.				
3240369	50000137	Pricing reasonable.				
3240369	50000138	Can recommend for short or long stay if not requiring indoor cooking facilities.				
3240369	50000139	BBQ available.				
3240369	50000140	Has pool and spa.				

3178303	50000150	Spacious rooms with great view ---SEP---		80000172	Thank you so much for posting your review on TripAdvisor.	
3178303	50000151	You get what you pay for..		80000173	Im really happy to see that you found your room to have clean and spacious and the reception team to have been understanding and polite.	
3178303	50000152	The price is average for this hotel however, I feel like the swimming pool area needs a good clean and the changing room for the gym was appalling..		80000174	We are always working on ways to improve our gym and pool facilities , and of course will continue to do so in the future.	
3178303	50000153	I have seen better changing rooms in public swimming pools..		80000175	We hope to see you back again soon.	
3178303	50000154	We booked a family room with 1 double bed, 1 single bed and 1 sofa bed but we got 1 double bed and 2 sofa beds which wasn't a big issue.				
3178303	50000155	Check in was slightly earlier as there was a room available and the lady at the reception was very understanding and polite.				
3178303	50000156	The rooms were clean and spacious..				
3178303	50000157	The hotel is slightly old and damp but you get what you pay for.				

3256452	50000160	Best in Brighton ---SEP---		80000186	Dear Sparkletoots, Thank you for your time to leave us this amazing review.	
3256452	50000161	This is a fantastic traditional hotel.		80000187	We are extremely pleased, that we are part of your happy memories, and we strongly hope to welcome you back on your next visit to Brighton.	
3256452	50000162	The location is perfect, the rooms are spotless and airy.		80000188	With best wishes, Miriam, Guest Relations	
3256452	50000163	The staff are so helpful and friendly.				
3256452	50000164	The restaurant serves excellent meals, whether it be a full evening meal, snacks or a hearty breakfast.				
3256452	50000165	It's not the cheapest, but it is amazing value.				
3256452	50000166	You leave with happy memories.				

3320567	50000170	Nice hotel ---SEP--- Good location.		80000199	Dear Laura14429, thank you for letting us k now about your recent stay at the Hampton Inn and Suites Saskatoon Airport and thank you so much for staying with us.	
3320567	50000171	This hotel is very clean and well priced.		80000200	I am thrilled you enjoyed your stay with us and will be sharing your review with all of our staff her at the hotel.	
3320567	50000172	Comfortable bed and amenities.		80000201	We look forward to welcoming you back on your next trip to Saskatoon	
3320567	50000173	The free breakfast was very good with a full selection of cereals, oatmeal, scrambled eggs, fruit, juices, breads.....				
3320567	50000174	And they had yogurt which most hotels don't!				

3231479	50000180	WOW.		80000212	We are so pleased that you had such a pleasant experience staying at our park, Jasmine!	
3231479	50000181	---SEP---		80000213	Thank you kindly for your review and we look forward to having you with us again.	
3231479	50000182	We stayed at Discovery Parks - Dubbo for 2 nights as we visited Dubbo for a Zoo visit.				
3231479	50000183	When I read the Park was close to the Zoo I didn’t realise it was literally a one minute drive, it was perfect.				
3231479	50000184	When we arrived to our deluxe 2 bedroom cabin we were blown away by the standard.				
3231479	50000185	Clean to an absolute high standard, bedding fresh and clean and great size.				
3231479	50000186	The whole cabin was a great size and everything about it was amazing and above expectations.				
3231479	50000187	The park itself was also outstanding, perfect for kids with a jumping pillow, pool and water park with a great slide my two boys loved.				
3231479	50000188	My 6 year old also thought the BMX track was awesome fun.				
3231479	50000189	We will no doubt be definitely staying here again.				
3231479	50000190	5 stars without a doubt.				

3227743	50000200	Great helpful staff ---SEP---		80000224	Thank you for your feedback regarding your recent stay at Holiday Inn Tampa Westshore Airport.	
3227743	50000201	I checked into the Holiday Inn on business and was blown away by there great staff.		80000225	I couldn't be more thrilled to hear that you received such memorable service from Janice, Ruby and Samira.	
3227743	50000202	At the front desk Janice went out her way to find information for me regard their rewards program.		80000226	I will certainly share your kind words with them and recognize them for their service.	
3227743	50000203	This woman has the patience of a saint because my guest and I had tons of questions for her.		80000227	We appreciate you choosing our hotel and hope to see you again very soon!	
3227743	50000204	With the help of Ruby and Samira my check in was smooth and very informative.				
3227743	50000205	Besides the great rooms and super comfortable beds, I would stay at this hotel every time I'm in town because of the warm, inviting and friendly staff.				

3318529	50000210	Fantastic location and amazing hospitality ---SEP---		80000238	Dear Shannon B, Thank you so much for your kind words!	
3318529	50000211	We loved the character and history of this hotel.		80000239	Your recommendation means the world to us...	
3318529	50000212	The location is fantastic, you can walk all around the historic area.		80000240	our staff loves welcoming guests from all over the world	
3318529	50000213	The staff was so nice and courteous from the valet taking our car, the bellmen, front desk staff and the servers for breakfast.		80000241	and I am so happy you felt at home with us at The Marshall House!	
3318529	50000214	We would stay here again.		80000242	We can't wait to welcome you back!	
3318529				80000243	Warm Regards, Kaitlin / Assistant Manager	

3178561	50000220	Excellent service.		80000254	Dear Nancy R S, Thank you so much for taking the time to write us about your recent stay at Loews Chicago Hotel.	
3178561	50000221	---SEP--- Classy and friendly.		80000255	I am thrilled to hear about your five star worthy experience with us.	
3178561	50000222	Rooms terrific.		80000256	I appreciate your wonderful comments about our friendly team, location, and our outdoor restaurant, Streeterville Social.	
3178561	50000223	Business center very well stocked with supplies.		80000257	We know you have many options to choose from and we thank you for choosing Loews Chicago.	
3178561	50000224	Near the spot to pick up river cruise/tour groups.		80000258	We look forward to seeing you again very soon.	
3178561	50000225	It has a lovely roof top bar on the 3rd floor.		80000259	Best, Christian Hansen Managing Director	
3178561	50000226	It is about a 2mile walk to the Chicago History Museum and about a 20 walk to the Loop.				
3178561	50000227	It is more expensive than other near by hotels..but I found it to be worth it.				

3319899	50000230	Great family getaway ---SEP---		80000260	Hi Nicole and you’ve made our day by giving us a 5 star review – thank you!	
3319899	50000231	Very friendly and helpful staff, always saw someone around cleaning.. so much for the children to do without leaving the park, very clean and tidy.. accommodation and public kitchen area clean and tidy (after staff had cleaned up after some disrespectful people) not to far out of town but far enough to feel secluded 😆		80000261	Your comments are a pleasure to read and we look forward to having the pleasure of welcoming you and your family back again for another getaway.	

3271804	50000240	So many positives ---SEP---		80000272	Hell akaciczo, Just wanted to message you back to say a big thank you from the team here at the Clayton Hotel Burlington Road for the lovely comments and the excellent score you have awarded us.	
3271804	50000241	Shower in our suite had a slow drain so you risked a flood if you were in longer than 5 minutes.		80000273	Really hope to see you again soon and the team would be delighted to welcome you back.	
3271804	50000242	Suite also had a bathtub with a separate shower head, so the shower flooding was irrelevant.		80000274	Again, thank you so much for the time and custom you gave us as it is very much appreciated.	
3271804	50000243	Bed was huge and extremely comfortable but they did not provide us with extra blankets which would have helped when we couldn’t figure out how to use the remote controlled heater.		80000275	Kind Regards Daniel O' Connor Customer Service Manager	
3271804	50000244	Plates are as hot as lava at the breakfast buffet, but the food selection was vast and absolutely delicious - great way to start the day.				
3271804	50000245	Business center offers a free printer so you can print your boarding pass before leaving, just make sure it’s set to print to the correct printer.				
3271804	50000246	The gym was the largest and most equipped of all hotel gyms I’ve ever seen, but you may get locked in if you don’t know how the doors work (yeah this is a thing).				
3271804	50000247	There’s also a great view from the gym.				
3271804	50000248	Elevators were extremely quick.				
3271804	50000249	Bar is huge, but service for cocktails or mixed drinks can be a bit slow.				
3271804	50000250	While you can order room service at any hour, it would be great if there were snack machines available for a late night fix as the closest convenience store is a 15 minute walk.				
3271804	50000251	Taxi queue is right outside and they are always available, so is the bus stop.				
3271804	50000252	Walk to town is 15-20 minutes.				
3271804	50000253	Quiet rooms and neighborhood.				

3175380	50000260	Staff so friendly!		80000286	Dear Mundas Thank you for taking the time to write a review on TripAdvisor and sharing your views with the TripAdvisor community.	
3175380	50000261	---SEP---		80000287	I am pleased to read that you enjoyed your stay and found the staff to be friendly and polite.	
3175380	50000262	We came to Leeds for a hen do and were very pleasantly surprised at how friendly the manager and his staff were.		80000288	I hope that I have the opportunity to welcome you back to Leeds in the future Kind Regards James	
3175380	50000263	Quite often in the big cities the personal touch is lost but the staff couldn't have done enough for us.				
3175380	50000264	The rooms are very comfortable modern and clean and the breakfast very good too.				
3175380	50000265	We are so impressed we will be back!				

3286764	50000270	Great place for sightseeing and shopping in Sydney ---SEP---		80000299	Dear Odyssey37472016640, Thank you kindly for sharing these comments with other travelers!	
3286764	50000271	Just a great hotel, from the moment you walk in you want to stay forever.		80000300	I am delighted to learn you feel that way, and that our iconic and convenient location made for a great shopping experience.	
3286764	50000272	Location is fantastic for shoppers and sightseers a like with easy access to Sydneys underground transport system that will get you anywhere fast and only 1 min walk from all the great Sydney shops!		80000301	We will look forward to seeing you again soon.	
3286764				80000302	Warm regards, David Fraser	

3238778	50000280	Best Top 10 ---SEP---		80000313	Hello Doug and Sue Thank you for sharing your experience with us on TripAdvisor.	
3238778	50000281	Spent 4 weeks travelling around New Zealand and spent most nights in holiday parks and this was by far the best in the country.		80000314	I am very glad to hear you enjoyed your stay at our park.	
3238778	50000282	Clean tidy with lots of shade and best off all free showers.		80000315	Kind regards	
3238778	50000283	Great location close to town with lots of room and facilities for anyone with kids.				

3173058	50000290	Enjoyable Stay ---SEP---		80000326	Good Evening glenc53 Hope you are well and thank you for the review of the Trinity Wharf Tauranga.	
3173058	50000291	Very enjoyable stay pity we couldn't use the Resturant Staff were very warm and welcoming and the Accomodation was first class in its setting and comfort		80000327	"So pleased to hear you found our Team warm and welcoming and that you enjoyed the Accommodation noting this as ""First Class""."	
3173058	50000292	There was some confusion of what we have pre ordered with the package but that was sorted		80000328	You will definitely have to take the trip back from Rotorua to try out our restaurant next time, we would love that.	
3173058				80000329	Glad we were able to sort out the slight 'glitch' on the package you booked.	
3173058				80000330	Kind Regards Lee Parker Hotel Manager	

3253514	50000300	Rimrock OK but watch traffic ---SEP---		80000341	We are delighted that you enjoyed your most recent experience with us at The Rimrock Our service team has great pride in delivering WOW experiences to our guests and it is a pleasure to share your feedback with them.	
3253514	50000301	The hotel is nice and well situated on the side of the mountain with great views.		80000342	We are pleased to hear you were able to enjoy the magnificent views of the Rocky Mountains.	
3253514	50000302	However, the traffic on Mountain Avenue dead ends just above the hotel at the hot springs and gondola.		80000343	Remember to book direct to take advantage of our Best Rate Guarantee Program and best in class service!	
3253514	50000303	When we were there, the road gridlocked around 5:00 pm and was impassable without a 1 1/2 hour car wait until well after 8 pm.		80000344	In Hospitality, Rimrock Resort Hotel Management	
3253514	50000304	We were forced to walk to town and back for dinner.				
3253514	50000305	No taxis would come to the area for hear of getting stuck in the gridlock.				

3296386	50000310	Good location and clean ---SEP---		80000355	Thank you very much for your kind review.	
3296386	50000311	Had 3 days here for our base for Margaret River.		80000356	We are pleased that you enjoyed your stay and enjoyed the Margaret River Region.	
3296386	50000312	A nice casual walk to go to main town.		80000357	We hope to see you again soon.	
3296386	50000313	Clean and tidy.				
3296386	50000314	Good reverse cycle aircon.				
3296386	50000315	Great pressure in shower and very hot water.				
3296386	50000316	As noted doona covers probably need a wash.				
3296386	50000317	Other than that a good place to stay				

3230615	50000320	Big 4 Golden River Holiday Park ---SEP--- Absolutely beautiful location!		80000368	Hi Jeffs and thank you for taking the time to review our park.	
3230615	50000321	Superb Cabin !		80000369	We're so pleased you enjoyed your cabin stay, and took the time to enjoy the beautiful Murray River, which is so easily accessed from our park.	
3230615	50000322	I'm spoilt now for any future Cabins it was amazing and so nicely presented!		80000370	We look forward to welcoming you again next time you visit Mildura.	
3230615	50000323	First class facilities and close to the Murray River for inspiring early morning walks !		80000371	Regards, Karen	
3230615	50000324	Loved it there!!!				

3234079	50000330	Oldest Hotel In Denver ---SEP--- Usually an old hotel is drafty and have that old basement smell.		80000382	Dear Okiegnome, It was a pleasure to welcome you to The Oxford Hotel, thank you for your review.	
3234079	50000331	The Oxford was a Romantic and comfortable.		80000383	"It is wonderful to hear you found the Oxford to be a ""romantic and comfortable"" stay."	
3234079	50000332	My only regret was not booking more time Fun part of town		80000384	We look forward to your next stay at The Oxford Hotel.	
3234079	50000333	Oh oh oh.		80000385	Sincerely, Brandon Daniels Hotel Manager	
3234079	50000334	I almost forgot Love the detailed architecture				

3227838	50000340	Better than ever ---SEP---		80000396	Dear RTBUSMC: The staff and management of The Bellmoor would like to thank you for your recent stay and for taking the time to submit your review.	
3227838	50000341	"With the addition of the Lupo catering staff for breakfast service and the ""beach buggy"" The Bellmoor has continued to provide a first class experience."		80000397	We have added the beach shuttle service for the summer season and look forward to continuing it for many summer seasons to come.	
3227838	50000342	We always delight in our stays at the Bellmoor.		80000398	Our breakfast enhancements have been well received and we delight in starting our guest’s day off with happiness.	
3227838				80000399	Thanks again for your continued patronage and we look forward to your next visit.	

3167339	50000350	Comfortable, affordable, convenient & friendly ---SEP---		80000400	Aloha!	
3167339	50000351	The Coconut Waikiki is a comfortable hotel conveniently located within about 15 minutes walk from Waikiki beach.		80000401	Thank you so much for sharing your experience with us.	
3167339	50000352	The staff were all genuinely very friendly and helpful.		80000402	We're happy you enjoyed your stay with us and it sounds like you were able to take advantage of the best our hotel has to offer; the Coconut Waikiki's location right in the middle of Waikiki and the continental breakfast served in the mornings.	
3167339	50000353	The room was modern and spacious with lots of storage.		80000403	The next time you're looking to book a hotel in Waikiki, we hope you'll choose to stay with us again!	
3167339	50000354	The bathroom was a little cosy and the air-conditioning was quite noisy.		80000404	Mahalo	
3167339	50000355	The self service continental breakfast (included in the room rate) was excellent with plenty of choice.				
3167339	50000356	"Unfortunately, the maid service didn't seem to know about the hotel's ""help us conserve"" programme so the towels were changed daily, even though we had hung them up as requested."				
3167339	50000357	Our only significant gripe was the car parking - $30/night was excessive.				
3167339	50000358	Excellent WiFi in the room.				

3215191	50000360	Fabulous stay for 50th birthday treat ---SEP---		80000415	Dear SunshIne561065, I’m so happy to hear you had a wonderful stay with us to celebrate this special occasion and that you enjoyed some birthday cake together!	
3215191	50000361	We chose macq01 for husbands 50th birthday as wanted something special and am so glad we did.		80000416	A special thank you for providing feedback on your Story Telling experience, I will be sure to pass this along to the team.	
3215191	50000362	The service and hotel room was fabulous.		80000417	Thank you once again, Jake Smith General Manager MACq01 Hotel	
3215191	50000363	Loved the story telling walking tour with Colette that was included.				
3215191	50000364	The cake on arrival was a pleasant surprise.				
3215191	50000365	One of the best hotel experiences we’ve had.				

3314432	50000370	Best in Town ---SEP--- Property is maintained to a very high standard.		80000428	Hi Bruce Thanks for taking the time to give us your feed back, so glade we are able to provide you with the quality of accommodation that suit your needs.	
3314432	50000371	Would be the best in town.		80000429	Look forward to your next visit.	
3314432	50000372	Allan and staff are very friendly and attentive to guest requests.		80000430	Regards Alan Lillian & Staff	
3314432	50000373	Third stay and will.				
3314432	50000374	continue to stay at this accommodation whenever in town.				

3285747	50000380	GREAT to be back ---SEP---		80000441	Well Gary, is it 5 or 6 times now you have been back?	
3285747	50000381	it's been a number of months since i was last at the royal villa.		80000442	We love you.	
3285747	50000382	it's only keeps getting better.		80000443	Thank you for the kind words and hopefully if I have enough time the next time I am in Toronto, we should get together for lunch.	
3285747	50000383	there is sun tan locations available outside the office!		80000444	Hope to see you soon.	
3285747	50000384	the pool as inviting as ever and the hot tub ready to sooth tired muscles.		80000445	Doug and Kenny	
3285747	50000385	was there during phoenix pride parade and festival and the resort was full, full, full.				
3285747	50000386	i was so lucky to get a last minute cancellation for a five night stay!				
3285747	50000387	thanks to doug and kenny for making my stay as pleasant and enjoyable as ever!				

3250583	50000390	West restaurant fantastic, hotel tired and taken over by locals ---SEP---		80000456	Dear Labella1, Once again, thank you for your visit and thank you for taking the time to share your recent experience.	
3250583	50000391	My partner booked two nights for our anniversary and I was really looking forward to it having read all the reviews and looked at pics.		80000457	I am delighted to see you had high expectations prior to your arrival due to the research you did on third party review sites such as Trip Advisor.	
3250583	50000392	We had a suite with a bar in it		80000458	The overwhelming comments on these sites by guests who have stayed at The Twelve are namely about::- 1) how wonderful the staff are, 2) how great their dining experiences were, 3) how wonderul the atmosphere is and 4) how true the Twelve's website is to actual reality.	
3250583	50000393	but it was structure only, had a microwave but no cutlery or plates and mini bar had no red or white wine, but for a €5 euro service charge they brought some wine.		80000459	You can therefore understand my disappointment when we did not live up to your expectations on the latter two.	
3250583	50000394	On arrival there was a drill on one of the tables apparently someone was putting a hook on bathroom door.		80000460	The Twelve is very much unlike the vast majority of hotels and this is why it is so well liked.	
3250583	50000395	Went for a drink in the Pins Bar to get over our long trip and providing there is no one in the bar you can get table service.		80000461	Our local bar atmosphere is an integral part of our successful formula and it is something we shout about proudly on our website.	
3250583	50000396	Thankfully and the one thing that saved our break was the West restaurant where the food is without reservation some of the best I have ever tasted, and the wine selection amazing, would go back for the food but would probably stay elsewhere it was €199 per night that did include breakfast and our meal in The West (no wine).		80000462	It is this beautiful buzz which helps make The Twelve what it is.	
3250583	50000397	I had read that they had jazz in The Pins but sadly not anymore.		80000463	Along with our staff and perfect location, the other wonderful elements are our devotion to great food and wine.	
3250583	50000398	On second day we went for a drive to explore had a lovely day but when we came back football was on and no seats in The Pins and no residents bar.		80000464	I am delighted to see you had a terrific experience in West.	
3250583	50000399	I cannot honestly say it was a complete washout		80000465	We have been greatly honoured with numerous accolades for West's cuisine as well as our wine list which has won pretty much every wine award there is to win.	
3250583	50000400	but it was also not what they bill it as on their site, so by all means go, worth it for food alone but don't bother with the overpriced suites, we spent no time in the extra space as there was nothing in it.		80000466	We do feature free live entertainment every weekend.	
3250583	50000401	I presume that the reason we had no bath in the room was because we had the bar not worth it.		80000467	On Fridays, it is always Traditional Irish music sessions - really good sessions.	
3250583				80000468	Saturdays, however lend thmselves to more variety.	
3250583				80000469	Sometimes it is Jazz, other times it is Blues.	
3250583				80000470	We always try to mix it up and the reason for this is based upon feedback from our guests.	
3250583				80000471	Our Facebook page always has the most up to the minute infomation.	
3250583				80000472	There are two end suites in the hotel which were designed for guests who want walk in showers rather than a bath.	
3250583				80000473	When you book directly on The Twelve's official website, you are given the luxury of choice.	
3250583				80000474	Unfortunately, this is not possible on third party sites.	
3250583				80000475	Labella, I really wish you had given us the opportunity to make some sort of service recovery whilst you were staying with us.	
3250583				80000476	Our goal is to ensure every guest has a wonderful time at The Twelve.	
3250583				80000477	Sincerely, Fergus	

3316416	50000410	Funky hostel/hotel in a beautiful setting ---SEP---		80000488	"""I am not sure if you were aware of our sign on the front desk that indicates how to get a hold of us."	
